gubun,code,name
1,000020,동화약품
1,000030,우리은행
1,000040,KR모터스
1,000050,경방
1,000060,메리츠화재
1,000070,삼양홀딩스
1,000075,삼양홀딩스우
1,000080,하이트진로s
1,000087,하이트진로2우B
1,000100,유한양행
1,000105,유한양행우
1,000120,CJ대한통운
1,000140,하이트진로홀딩스
1,000145,하이트진로홀딩스우
1,000150,두산
1,000155,두산우
1,000157,두산2우B
1,000180,성창기업지주
1,000210,대림산업
1,000215,대림산업우
1,000220,유유제약
1,000225,유유제약1우
1,000227,유유제약2우B
1,000230,일동제약
1,000240,한국타이어월드와이드
1,000270,기아차
1,000300,대유신소재
1,000320,노루홀딩스
1,000325,노루홀딩스우
1,000327,노루홀딩스2우B
1,000370,한화손해보험
1,000390,삼화페인트
1,000400,롯데손해보험
1,000430,대원강업
1,000480,조선내화
1,000490,대동공업
1,000500,가온전선
1,000520,삼일제약
1,000540,흥국화재
1,000545,흥국화재우
1,000547,흥국화재2우B
1,000590,CS홀딩스
1,000640,동아쏘시오홀딩스
1,000650,천일고속
1,000660,SK하이닉스
1,000670,영풍
1,000680,LS네트웍스
1,000687,LS네트웍스전환상환2
1,000700,유수홀딩스
1,000720,현대건설
1,000725,현대건설우
1,000760,이화산업
1,000810,삼성화재
1,000815,삼성화재우
1,000830,삼성물산
1,000835,삼성물산우
1,000850,화천기공
1,000860,건설화학
1,000880,한화
1,000885,한화우
1,000890,보해양조
1,000910,유니온
1,000950,전방
1,000970,한국주철관
1,000990,동부하이텍
1,000995,동부하이텍1우
1,001020,페이퍼코리아
1,001040,CJ
1,001045,CJ우
1,001060,JW중외제약
1,001065,JW중외제약우
1,001067,JW중외제약2우B
1,001070,대한방직
1,001080,만호제강
1,001120,LG상사
1,001130,대한제분
1,001140,국보
1,001200,유진투자증권
1,001210,금호전기
1,001230,동국제강
1,001250,GS글로벌
1,001260,남광토건
1,001270,부국증권
1,001275,부국증권우
1,001290,골든브릿지증권
1,001340,백광산업
1,001360,삼성제약
1,001380,SG충남방적
1,001390,KG케미칼
1,001420,태원물산
1,001430,세아베스틸
1,001440,대한전선
1,001450,현대해상
1,001460,BYC
1,001465,BYC우
1,001470,삼부토건
1,001500,HMC투자증권
1,001510,SK증권
1,001515,SK증권우
1,001520,동양
1,001525,동양우
1,001527,동양2우B
1,001529,동양3우B
1,001530,동일방직
1,001550,조비
1,001560,제일연마
1,001570,금양
1,001620,동국실업
1,001630,종근당홀딩스
1,001680,대상
1,001685,대상우
1,001689,대상3우B
1,001720,신영증권
1,001725,신영증권우
1,001740,SK네트웍스
1,001745,SK네트웍스우
1,001750,한양증권
1,001755,한양증권우
1,001770,신화실업
1,001780,알루코
1,001790,대한제당
1,001795,대한제당우
1,001799,대한제당3우B
