Date,Open,High,Low,Close,Volume,Adj Close,MA30,MA60,MA120,MA240
2000-01-04,10700.02,11800.04,10700.02,11800.04,1810000,14564.59,,,,
2000-01-05,11599.98,13099.96,11099.98,13099.96,2130200,16169.06,,,,
2000-01-06,13000.01,13000.01,11299.97,11599.98,1499700,14317.66,,,,
2000-01-07,12000.02,12250.02,11400.0,12000.02,1283400,14811.42,,,,
2000-01-10,11800.04,12200.0,11649.99,11750.02,840700,14502.86,,,,
2000-01-11,11599.98,12099.97,11549.96,11800.04,994200,14564.59,,,,
2000-01-12,11599.98,11700.01,11099.98,11099.98,710800,13700.52,,,,
2000-01-13,10900.0,11500.03,10900.0,11450.01,672100,14132.56,,,,
2000-01-14,11899.99,11899.99,11049.97,11150.0,617800,13762.26,,,,
2000-01-17,10900.0,11000.03,10299.98,10750.04,775100,13268.59,,,,
2000-01-18,10500.04,10700.02,10150.01,10200.03,798300,12589.72,,,,
2000-01-19,10100.0,10200.03,9100.01,9200.04,1061500,11355.45,,,,
2000-01-20,8799.99,9100.01,8400.03,8590.03,877800,10602.52,,,,
2000-01-21,8710.03,9489.98,8400.03,8699.96,1246600,10738.22,,,,
2000-01-24,8509.97,8989.99,8509.97,8600.01,1090900,10614.85,,,,
2000-01-25,8499.98,8520.04,8300.0,8300.0,641100,10244.55,,,,
2000-01-26,8350.02,8720.02,8150.03,8550.0,891500,10553.12,,,,
2000-01-27,8619.99,9520.02,8550.0,9450.03,1121600,11664.02,,,,
2000-01-28,9499.97,9640.03,9150.02,9340.02,745500,11528.22,,,,
2000-01-31,9150.02,9590.01,8900.03,9499.97,742900,11725.65,,,,
2000-02-01,9900.01,10650.01,9710.02,10599.99,1593000,13083.39,,,,
2000-02-02,10599.99,11150.0,10100.0,10750.04,1205200,13268.59,,,,
2000-02-03,10750.04,11000.03,10500.04,10500.04,565700,12960.02,,,,
2000-02-04,10500.04,10500.04,10500.04,10500.04,0,12960.02,,,,
2000-02-07,10299.98,10900.0,10100.0,10500.04,1116600,12960.02,,,,
2000-02-08,10299.98,10700.02,10150.01,10599.99,607500,13083.39,,,,
2000-02-09,10500.04,10750.04,10100.0,10150.01,839300,12527.99,,,,
2000-02-10,9999.96,9999.96,9030.02,9309.98,993900,11491.15,,,,
2000-02-11,9009.96,9499.97,8749.98,8970.01,1106200,11071.54,,,,
2000-02-14,8550.0,9299.99,8550.0,8610.0,772800,10627.18,12648.124000000002,,,
2000-02-15,8650.03,8960.03,8520.04,8610.0,623800,10627.18,12516.877,,,
2000-02-16,8650.03,8850.01,8509.97,8830.04,684300,10898.76,12341.200333333334,,,
2000-02-17,8830.04,9150.02,8660.02,9129.97,803500,11268.97,12239.577333333333,,,
2000-02-18,8999.98,9069.97,8600.01,8670.0,697600,10701.24,12102.571333333333,,,
2000-02-21,8540.01,8600.01,8110.01,8150.03,516100,10059.45,11954.457666666667,,,
2000-02-22,8199.97,8369.99,7740.0,7900.0,512300,9750.83,11793.999000000002,,,
2000-02-23,8000.0,9040.0,7960.0,8699.96,972100,10738.22,11695.255666666666,,,
2000-02-24,8199.97,8650.03,8010.0,8050.0,607500,9935.98,11555.369666666666,,,
2000-02-25,7900.0,8290.01,7800.0,8020.0,514600,9898.95,11426.592666666666,,,
