,volume,value,sojinrate,high,covolume,l_change,o_diff,marketcap,low,h_sign,chdegree,shcode,o_change,l_diff,diff,date,open,sign,h_diff,h_change,ppvolume,l_sign,changerate,fpvolume,o_sign,change,close,diff_vol
0,0,0,8.56,0,0,-7100,-100.00,198313,0,5,0.00,000020,-7100,-100.00,0.00,20150901,0,3,-100.00,-7100,0,5,0.00,0,5,0,7100,-100.00
1,45362,323,8.56,7250,616,-190,-0.14,198313,7050,2,50.66,000020,-10,-2.62,-1.93,20150831,7230,5,0.14,10,6178,5,0.16,-8614,5,140,7100,-63.37
2,123831,894,8.59,7310,488,-50,1.25,202224,7140,2,117.40,000020,90,-0.70,0.70,20150828,7280,2,1.67,120,46680,5,0.44,-44168,2,50,7240,-11.63
3,140126,1016,8.74,7420,1291,0,0.70,200827,7100,2,129.38,000020,50,0.00,1.27,20150827,7150,2,4.51,320,-31424,3,0.50,-25767,2,90,7190,20.52
4,116271,816,8.84,7150,-230,-140,0.00,198313,6850,2,84.58,000020,0,-2.00,1.57,20150826,6990,2,2.29,160,4533,5,0.42,-11692,3,110,7100,-64.40
5,326603,2214,8.88,7220,-8494,-40,0.15,195241,6550,2,154.70,000020,10,-0.61,6.07,20150825,6600,2,9.56,630,-30981,5,1.17,-47014,2,400,6990,120.25
6,148289,984,9.05,6900,-414,-260,-3.73,184068,6440,2,83.48,000020,-250,-3.88,-1.64,20150824,6450,5,2.99,200,-20932,5,0.53,7054,5,110,6590,-51.56
7,306133,2068,9.02,7090,0,-450,-4.54,187141,6600,2,94.37,000020,-320,-6.38,-4.96,20150821,6730,5,0.57,40,-98280,5,1.10,27762,5,350,6700,91.07
8,160224,1134,8.92,7220,-65,-250,-1.40,196917,6900,2,66.60,000020,-100,-3.50,-1.40,20150820,7050,5,0.98,70,-47501,5,0.57,44053,5,100,7050,-41.88
9,275683,1995,8.76,7700,1464,-760,-0.13,199710,6950,5,32.49,000020,-10,-9.86,-7.26,20150819,7700,5,-0.13,-10,-36786,5,0.99,15664,5,560,7150,94.00
10,142106,1119,8.71,8070,11,-350,0.25,215352,7610,2,100.90,000020,20,-4.40,-3.14,20150818,7980,5,1.38,110,-21971,5,0.51,16146,2,250,7710,185.88
11,49708,401,8.65,8350,-301,-140,0.25,222335,7960,2,36.76,000020,20,-1.73,-1.73,20150817,8120,5,3.09,250,11400,5,0.18,-271,2,140,7960,-22.80
12,64387,516,8.65,8250,3378,-70,0.00,226245,7850,2,138.85,000020,0,-0.88,2.27,20150813,7920,2,4.17,330,-10404,5,0.23,7026,3,180,8100,-59.72
