Date,Open,High,Low,Close,Volume,Adj Close,MA20,MA200
2011-01-03,69900.04,69900.04,68500.01,68800.02,653400,85423.1,,
2011-01-04,69000.0,70699.97,68800.02,70699.97,1077700,87782.1,,
2011-01-05,70400.04,70499.98,69399.97,69999.99,720200,86913.0,,
2011-01-06,69999.99,70199.97,69100.03,69100.03,569400,85795.6,,
2011-01-07,68800.02,73000.03,68800.02,73000.03,1926900,90637.9,,
2011-01-10,72599.99,74200.0,72299.98,73200.02,1583900,90886.2,,
2011-01-11,73299.97,74300.04,72799.97,73599.98,929200,91382.8,,
2011-01-12,73599.98,73700.01,72499.96,73299.97,619900,91010.3,,
2011-01-13,73299.97,74200.0,72900.01,73599.98,752100,91382.8,,
2011-01-14,74000.02,75199.99,71199.96,71199.96,1714600,88402.9,,
2011-01-17,71799.98,72299.98,70799.99,71199.96,644300,88402.9,,
2011-01-18,70999.98,72299.98,70799.99,71100.01,509600,88278.8,,
2011-01-19,71199.96,73400.0,70900.03,73099.99,776700,90762.0,,
2011-01-20,73299.97,76000.0,72599.99,75699.99,1905700,93990.2,,
2011-01-21,75800.02,76399.96,74200.0,75000.01,1219500,93121.1,,
2011-01-24,75600.04,78499.97,75500.01,78100.01,1707600,96970.1,,
2011-01-25,78700.04,78799.99,76699.97,77499.98,1019100,96225.1,,
2011-01-26,78199.96,78900.01,76399.96,77100.02,596000,95728.5,,
2011-01-27,77699.96,78400.02,75399.98,77999.98,1573500,96845.9,,
2011-01-28,77400.03,78100.01,76000.0,76000.0,712500,94362.7,91215.20000000001,
2011-01-31,74300.04,74700.0,72200.03,72700.02,981400,90265.4,91457.315,
2011-02-01,73000.03,73400.0,71100.01,71900.02,785100,89272.1,91531.815,
2011-02-07,73099.99,73899.99,72499.96,72599.99,421200,90141.2,91693.225,
2011-02-08,73799.96,74700.0,73400.0,73400.0,638900,91134.5,91960.17,
2011-02-09,73599.98,75000.01,73599.98,74399.99,694400,92376.1,92047.08,
2011-02-10,74300.04,74800.03,72700.02,72900.01,433800,90513.7,92028.455,
2011-02-11,73299.97,74899.98,72100.0,72100.0,431500,89520.4,91935.33499999999,
2011-02-14,72900.01,72900.01,70100.02,71400.02,624600,88651.3,91817.385,
2011-02-15,71499.97,72200.03,70799.99,71299.99,444400,88527.1,91674.6,
2011-02-16,70999.98,71900.02,70999.98,71299.99,329300,88527.1,91680.81000000001,
2011-02-17,71600.01,71799.98,68899.97,69999.99,609700,86913.0,91606.31500000002,
2011-02-18,70100.02,70799.99,69600.03,70499.98,514200,87533.8,91569.06500000002,
2011-02-21,70600.02,70699.97,68800.02,69100.03,753300,85795.6,91320.74500000002,
2011-02-22,66700.02,67599.97,61899.97,62100.03,2865100,77104.3,90476.45000000003,
2011-02-23,60800.04,62600.03,60200.01,61000.01,1449400,75738.5,89607.32000000002,
2011-02-24,60500.02,62600.03,59799.96,61099.97,1081000,75862.6,88551.94500000002,
2011-02-25,62100.03,64499.98,61699.99,63999.98,932600,79463.3,87713.85500000001,
2011-02-28,63800.0,63800.0,61199.99,61500.01,742500,76359.3,86745.39500000002,
2011-03-02,60399.99,61099.97,60200.01,61000.01,425200,75738.5,85690.02500000002,
2011-03-03,61099.97,62999.99,60700.0,62999.99,676300,78221.7,84882.97500000002,
2011-03-04,63800.0,64700.04,62500.0,63600.02,794100,78966.7,84318.04000000002,
2011-03-07,62800.01,62899.96,60700.0,61600.04,1030500,76483.5,83678.61000000002,
2011-03-08,61199.99,62500.0,60800.04,62100.03,813700,77104.3,83026.76500000003,
2011-03-09,63600.02,64299.99,62300.02,62699.98,824700,77849.2,82362.50000000003,
2011-03-10,62500.0,62800.01,61600.04,62199.98,500000,77228.4,81605.11500000002,
2011-03-11,61099.97,62000.0,60800.04,61399.98,473700,76235.1,80891.18500000003,
2011-03-14,56999.98,58400.01,55199.99,56900.03,2455600,70647.9,79947.56000000003,
2011-03-15,56999.98,58499.96,54300.03,56499.99,1405500,70151.2,79022.55500000002,
2011-03-16,56900.03,58900.01,56800.0,58700.02,1043800,72882.8,78240.34000000001,
2011-03-17,57499.97,58499.96,56999.98,58499.96,502400,72634.4,77445.705,
2011-03-18,57999.97,58299.98,56999.98,57799.98,930800,71765.3,76688.32,
2011-03-21,58700.02,60700.0,58600.0,60399.99,1244600,74993.5,76061.30500000001,
2011-03-22,61000.01,61300.03,59700.01,60099.98,776100,74621.0,75502.575,
2011-03-23,60200.01,60300.04,58600.0,59700.01,642200,74124.4,75353.57999999999,
2011-03-24,59400.0,60700.0,58999.96,60300.04,656400,74869.4,75310.12499999999,
2011-03-25,61000.01,61199.99,59700.01,60599.97,678100,75241.8,75279.08499999999,
2011-03-28,60899.98,62399.97,60899.98,62000.0,753400,76980.1,75154.92499999999,
2011-03-29,62300.02,62600.03,61000.01,62199.98,605300,77228.4,75198.37999999998,
2011-03-30,62199.98,62600.03,61699.99,62300.02,587300,77352.6,75279.08499999999,
2011-03-31,62999.99,65799.98,62899.96,65799.98,1770300,81698.2,75452.90999999999,
2011-04-01,65900.0,66899.99,64999.97,66799.96,1081900,82939.8,75651.56499999999,
2011-04-04,66700.02,67500.02,65900.0,66099.99,742800,82070.7,75930.92499999999,
2011-04-05,66299.97,66799.96,64700.04,65500.04,560100,81325.8,76141.99999999999,
2011-04-06,65299.98,65900.0,63800.0,64600.0,620300,80208.3,76259.95499999999,
2011-04-07,64299.99,64499.98,63199.97,63699.96,658300,79090.8,76353.075,
2011-04-08,63600.02,64900.02,63199.97,64799.99,680500,80456.6,76564.15,
2011-04-11,63999.98,64100.01,62199.98,63100.02,1028600,78345.9,76949.05,
2011-04-12,63800.0,64299.99,62699.98,62800.01,650400,77973.4,77340.16,
2011-04-13,64400.02,65299.98,63999.98,64700.04,970800,80332.5,77712.64499999999,
2011-04-14,65100.0,65200.03,63999.98,64900.02,539800,80580.8,78109.965,
2011-04-15,64600.0,66000.04,63999.98,65599.99,669200,81449.9,78594.19499999999,
2011-04-18,66099.99,66200.02,63600.02,64199.96,798000,79711.6,78830.1,
2011-04-19,63499.99,64600.0,62699.98,63499.99,495300,78842.5,79041.175,
2011-04-20,63900.03,64199.96,62999.99,63699.96,696400,79090.8,79289.49500000001,
2011-04-21,63300.01,63900.03,61699.99,62600.03,1110300,77725.1,79432.28000000001,
2011-04-22,62300.02,62600.03,61199.99,61899.97,736500,76855.9,79512.98500000002,
2011-04-25,62600.03,64499.98,62500.0,63400.03,1027500,78718.4,79599.9,
2011-04-26,63800.0,63900.03,62500.0,63199.97,489700,78470.0,79661.98000000001,
2011-04-27,64100.01,64999.97,63400.03,64499.98,1017500,80084.1,79798.55500000001,
2011-04-28,64900.02,65299.98,63600.02,64900.02,815500,80580.8,79742.68500000001,
2011-04-29,65200.03,65500.04,63400.03,65500.04,892500,81325.8,79661.98500000002,
2011-05-02,66400.0,69999.99,65900.0,69800.01,2356500,86664.7,79891.68500000001,
2011-05-03,68800.02,69999.99,67200.01,69300.01,1387100,86043.9,80127.59,
2011-05-04,70499.98,70900.03,69100.03,69300.01,1111600,86043.9,80419.37,
2011-05-06,71299.99,71799.98,69600.03,70400.04,1574900,87409.7,80835.31499999999,
2011-05-09,70999.98,71499.97,68200.0,69199.99,776600,85919.7,81108.46999999999,
2011-05-11,68099.96,69999.99,67200.01,69100.03,814900,85795.6,81480.95499999999,
2011-05-12,70100.02,70699.97,67899.98,67899.98,674000,84305.6,81797.565,
2011-05-13,68000.01,68899.97,66700.02,67099.97,486000,83312.3,81946.55500000001,
2011-05-16,66299.97,67500.02,65200.03,66500.03,446500,82567.4,82045.885,
2011-05-17,67299.96,68500.01,67099.97,67200.01,485200,83436.5,82145.215,
2011-05-18,67599.97,69699.98,67500.02,68800.02,557900,85423.1,82430.79000000001,
2011-05-19,68399.98,69300.01,67599.97,68399.98,430400,84926.4,82734.985,
2011-05-20,69300.01,69300.01,67800.03,67899.98,250900,84305.6,82995.725,
2011-05-23,67899.98,67899.98,65100.0,65500.04,467900,81325.8,83175.76,
2011-05-24,65700.03,66700.02,64100.01,65799.98,445200,81698.2,83417.875,
2011-05-25,65900.0,66000.04,63199.97,63400.03,524300,78718.4,83417.875,
2011-05-26,63600.02,64100.01,62600.03,63499.99,567200,78842.5,83436.5,
2011-05-27,63800.0,63999.98,62399.97,62800.01,764700,77973.4,83330.965,
2011-05-30,63199.97,63600.02,62600.03,62600.03,302200,77725.1,83188.18,
2011-05-31,62600.03,63900.03,62600.03,63199.97,314500,78470.0,83045.38999999998,
2011-06-01,63300.01,64299.99,62800.01,62999.99,581000,78221.7,82623.23999999999,
2011-06-02,62600.03,63400.03,62199.98,62999.99,347700,78221.7,82232.12999999999,
2011-06-03,63499.99,63699.96,61899.97,62300.02,468500,77352.6,81797.565,
2011-06-07,61600.04,63100.02,61399.98,62800.01,412600,77973.4,81325.75,
2011-06-08,63699.96,64600.0,63300.01,63800.0,551400,79215.0,80990.515,
2011-06-09,63499.99,65400.01,62699.98,64700.04,572700,80332.5,80717.36,
2011-06-10,64700.04,65299.98,63999.98,64100.01,368300,79587.5,80481.45499999999,
2011-06-13,64799.99,65100.0,64100.01,64400.02,249300,79960.0,80313.84,
2011-06-14,64700.04,65400.01,64299.99,64999.97,374700,80704.9,80220.715,
2011-06-15,65599.99,68099.96,65400.01,67099.97,677100,83312.3,80214.50499999999,
2011-06-16,67700.0,68000.01,66599.98,67000.03,414800,83188.2,80102.75999999998,
2011-06-17,68000.01,68399.98,66099.99,67099.97,366800,83312.3,80022.055,
2011-06-20,67599.97,69199.99,67599.97,68600.04,655200,85174.8,80065.51499999998,
2011-06-21,69000.0,69300.01,67599.97,68899.97,437900,85547.2,80276.58499999999,
2011-06-22,68899.97,69000.0,66799.96,66799.96,762500,82939.8,80338.665,
2011-06-23,66000.04,68000.01,65799.98,67299.96,303800,83560.6,80580.775,
2011-06-24,69900.04,70400.04,69100.03,70199.97,1227000,87161.3,80996.715,
2011-06-27,69999.99,70799.99,69500.0,70199.97,442100,87161.3,81456.11000000002,
2011-06-28,70400.04,70499.98,69000.0,70100.02,503200,87037.2,81921.715,
2011-06-29,70400.04,70699.97,69699.98,70100.02,332900,87037.2,82350.075,
2011-06-30,69600.03,69900.04,68399.98,69699.98,568700,86540.5,82766.015,
2011-07-01,70400.04,70600.02,69500.0,70100.02,505700,87037.2,83206.79000000001,
2011-07-04,70900.03,73000.03,70900.03,72299.98,917600,89768.7,83827.595,
2011-07-05,71999.97,72100.0,71199.96,71700.03,551300,89023.8,84380.115,
2011-07-06,71100.01,72100.0,70499.98,71999.97,573300,89396.2,84889.175,
2011-07-07,73000.03,73000.03,70699.97,71199.96,647500,88402.9,85292.69499999999,
2011-07-08,70799.99,71100.01,69100.03,70699.97,961300,87782.1,85702.425,
2011-07-11,70499.98,71700.03,70100.02,71400.02,371300,88651.3,86136.99,
2011-07-12,70600.02,71499.97,70400.04,70799.99,308800,87906.3,86497.06000000001,
2011-07-13,70499.98,72299.98,69699.98,71999.97,491200,89396.2,86801.255,
2011-07-14,71299.99,71299.99,69100.03,69900.04,733700,86788.9,86981.29000000001,
2011-07-15,70199.97,70699.97,69399.97,69999.99,316000,86913.0,87161.325,
2011-07-18,70499.98,70499.98,68200.0,69000.0,476800,85671.4,87186.155,
2011-07-19,68699.99,70400.04,68699.99,70100.02,419700,87037.2,87260.655,
2011-07-20,70600.02,71999.97,70600.02,71400.02,616800,88651.3,87546.23,
2011-07-21,71700.03,72299.98,71100.01,71400.02,352200,88651.3,87800.76499999998,
2011-07-22,71999.97,72100.0,70799.99,71499.97,344800,88775.4,87881.46999999999,
2011-07-25,70799.99,71199.96,69999.99,70799.99,328300,87906.3,87918.71999999999,
2011-07-26,70699.97,70799.99,68899.97,69199.99,556500,85919.7,87862.84499999999,
2011-07-27,69000.0,69300.01,67899.98,68399.98,600700,84926.4,87757.30499999998,
2011-07-28,67399.99,68500.01,67000.03,68500.01,564300,85050.6,87682.80999999998,
2011-07-29,68000.01,68500.01,67099.97,67200.01,402800,83436.5,87502.775,
2011-08-01,67500.02,68300.02,67399.99,67500.02,340600,83809.0,87204.79,
2011-08-02,67099.97,67399.99,64900.02,65900.0,902400,81822.4,86844.71999999999,
2011-08-03,65200.03,66899.99,64199.96,66000.04,474100,81946.6,86472.23999999999,
2011-08-04,66899.99,68300.02,66200.02,67200.01,734900,83436.5,86223.92,
2011-08-05,64199.96,66000.04,63999.98,65900.0,712400,81822.4,85925.93499999998,
2011-08-08,65100.0,66899.99,62999.99,65200.03,739400,80953.3,85541.03499999999,
2011-08-09,64199.96,64499.98,59400.0,64299.99,722600,79835.8,85137.50999999998,
2011-08-10,65500.04,67000.03,63100.02,64199.96,769600,79711.6,84653.28,
2011-08-11,62000.0,64199.96,61000.01,63300.01,487800,78594.2,84243.545,
2011-08-12,63300.01,63499.99,61000.01,61300.03,638600,76111.0,83703.44499999999,
2011-08-16,62000.0,62899.96,61399.98,62100.03,557100,77104.3,83275.09,
2011-08-17,61800.02,62699.98,61199.99,61800.02,415900,76731.8,82759.82,
2011-08-18,61600.04,62000.0,58200.03,58999.96,710000,73255.2,81990.015,
2011-08-19,56600.02,56999.98,54699.99,55199.99,605000,68537.1,80984.30500000001,
2011-08-22,54300.03,56400.04,53299.96,55699.98,399300,69157.9,80003.43000000001,
2011-08-23,56900.03,58299.98,55399.97,57600.01,661800,71517.0,79183.965,
2011-08-24,58100.0,58600.0,55399.97,56400.04,444600,70027.1,78389.335,
2011-08-25,56699.97,57400.03,55000.0,55399.97,422800,68785.4,77582.285,
2011-08-26,54899.97,56400.04,54899.97,56199.98,249500,69778.7,76818.69,
2011-08-29,57199.96,58900.01,56300.0,57900.02,668700,71889.5,76241.34,
2011-08-30,58600.0,59299.97,57499.97,57700.04,299200,71641.2,75632.95,
2011-08-31,57999.97,58700.02,57199.96,58100.0,293200,72137.8,75148.72,
2011-09-01,58900.01,59400.0,56300.0,56800.0,690900,70523.7,74577.575,
2011-09-02,56400.04,56999.98,55399.97,55500.0,398500,68909.6,73851.23000000001,
2011-09-05,54599.96,55000.0,52700.02,53099.98,496200,65929.7,73056.595,
2011-09-06,51900.01,55800.01,51600.0,54899.97,678500,68164.6,72417.16,
2011-09-07,56100.02,60099.98,55800.01,58999.96,880500,73255.2,72088.13,
2011-09-08,59099.99,60300.04,58200.03,59200.02,535500,73503.6,71777.73000000001,
2011-09-09,59099.99,59299.97,58299.98,58600.0,193400,72758.6,71485.95000000001,
2011-09-14,56400.04,57499.97,55199.99,56199.98,529800,69778.7,71169.335,
2011-09-15,57100.01,57600.01,53500.02,55399.97,521900,68785.4,70753.39,
2011-09-16,55899.96,56800.0,55699.98,55899.96,325200,69406.2,70387.11,
2011-09-19,55699.98,56999.98,53899.98,54399.98,396100,67543.8,70101.54000000001,
2011-09-20,53500.02,54599.96,52700.02,53599.97,504700,66550.5,70002.20999999999,
2011-09-21,53599.97,54099.96,53099.98,53599.97,324700,66550.5,69871.84,
2011-09-22,52200.02,52799.97,49400.04,49749.99,1075800,61770.3,69384.505,
2011-09-23,47050.03,47450.0,42300.01,43249.98,1630400,53699.8,68568.14,
2011-09-26,44400.01,45200.02,39399.99,41199.99,1389400,51154.5,67686.595,
2011-09-27,42699.97,44249.97,42300.01,44249.97,881400,54941.4,66944.73000000001,
2011-09-28,43999.97,44350.0,42900.03,42999.98,605500,53389.4,66019.725,
2011-09-29,42699.97,43749.98,41350.03,43749.98,962000,54320.6,65153.69500000001,
2011-09-30,43900.02,44700.03,43600.01,44200.03,514000,54879.4,64290.775,
2011-10-04,40699.99,41199.99,39849.97,40500.01,805900,50285.4,63278.86,
2011-10-05,40800.02,41000.01,38049.97,38549.97,815100,47864.2,62226.58999999999,
2011-10-06,39950.0,42249.99,39649.99,41850.03,635500,51961.6,61528.185,
2011-10-07,42999.98,45450.02,42999.98,44999.96,777600,55872.6,60913.585,
2011-10-10,44600.0,45500.03,43850.01,44499.97,394700,55251.8,60013.415,
2011-10-11,45849.98,46200.01,44799.98,45099.99,662500,55996.8,59138.075,
2011-10-12,44799.98,44799.98,43850.01,44299.98,507800,55003.5,58250.31999999999,
2011-10-13,45400.0,50799.99,45299.97,48999.99,1631200,60839.1,57803.340000000004,
2011-10-14,48850.03,49499.99,47649.98,48600.03,563100,60342.5,57381.19500000001,
2011-10-17,49199.97,50999.97,49199.97,50299.99,778000,62453.2,57033.545000000006,
2011-10-18,48500.0,49499.99,48000.0,48500.0,692100,60218.3,56667.270000000004,
2011-10-19,49050.01,50400.02,48000.0,49800.0,519300,61832.4,56431.365000000005,
2011-10-20,49949.97,49999.98,46300.04,46750.02,626800,58045.5,56006.115000000005,
2011-10-21,47599.96,47949.99,45150.0,47000.02,507500,58355.9,55835.395,
2011-10-24,48050.02,51299.98,48000.0,51100.0,898000,63446.5,56322.729999999996,78754.67150000001
2011-10-25,50900.02,51400.01,49999.98,50199.96,374100,62329.0,56881.454999999994,78639.20100000002
2011-10-26,49249.99,50199.96,48949.98,50199.96,326400,62329.0,57250.835,78511.93550000002
2011-10-27,50799.99,52099.99,49650.03,52000.04,692000,64564.0,57809.565,78400.19050000001
2011-10-28,53500.02,54000.02,51600.0,52099.99,798800,64688.1,58327.94,78294.65300000002
2011-10-31,52299.97,52299.97,49999.98,49999.98,384000,62080.7,58688.005000000005,78151.86700000001
2011-11-01,48999.99,49749.99,48800.01,49400.04,415700,61335.8,59240.52500000001,78004.11500000002
2011-11-02,47949.99,48649.97,47200.0,48600.03,357400,60342.5,59864.44000000002,77848.91350000001
2011-11-03,48600.03,48899.96,47200.0,47800.02,284900,59349.2,60233.82000000001,77690.60800000001
2011-11-04,48949.98,49199.97,48600.03,49199.97,382500,61087.4,60494.56,77539.13100000001
2011-11-07,49300.01,49400.04,48649.97,49150.04,188000,61025.4,60783.23999999999,77402.24350000001
2011-11-08,49249.99,49350.02,47000.02,47099.97,685100,58480.0,60907.39999999999,77252.629
2011-11-09,47500.01,48000.0,46300.04,46750.02,480400,58045.5,61059.499999999985,77101.4625
2011-11-10,45049.97,45099.99,43150.03,43150.03,661300,53575.7,60696.32999999998,76915.531
2011-11-11,44200.03,45150.0,43850.01,44849.99,369500,55686.4,60463.52499999998,76724.012
2011-11-14,45599.99,46149.99,45099.99,45299.97,424600,56245.1,60153.11999999998,76539.632
2011-11-15,45150.0,45450.02,44200.03,44499.97,261600,55251.8,59904.794999999984,76331.0405
2011-11-16,44799.98,45250.04,43850.01,43900.02,273200,54506.9,59538.51999999998,76122.44950000002
2011-11-17,43499.98,43749.98,42850.02,43749.98,366500,54320.6,59352.27499999999,75915.41
2011-11-18,42900.03,43249.98,42499.99,42749.99,396800,53079.0,59088.42999999999,75696.5755
2011-11-21,42499.99,43350.01,42150.04,42699.97,273900,53016.9,58566.94999999999,75489.84650000001
2011-11-22,41850.03,42449.97,41800.01,42100.03,340300,52272.0,58064.09999999999,75299.87950000001
2011-11-23,42400.04,43050.0,42050.01,42499.99,531100,52768.6,57586.079999999994,75117.36200000001
2011-11-24,42600.02,44600.0,41999.99,44150.02,767600,54817.3,57098.744999999995,74940.74250000002
2011-11-25,43999.97,44650.01,43549.99,43850.01,307100,54444.8,56586.579999999994,74757.29400000002
2011-11-28,44499.97,45150.0,44400.01,45150.0,356400,56058.9,56285.48999999999,74575.70800000003
2011-11-29,45500.03,45500.03,44499.97,45500.03,433200,56493.5,56043.374999999985,74405.60700000003
2011-11-30,45500.03,46550.04,45400.0,45900.0,453600,56990.1,55875.75499999999,74242.95550000003
2011-12-01,47200.0,47450.0,46649.99,47200.0,639400,58604.2,55838.50499999999,74092.72000000002
2011-12-02,47099.97,47200.0,45950.01,46700.0,355900,57983.4,55683.30499999999,73940.00150000003
2011-12-05,47000.02,47050.03,46250.02,47000.02,232900,58355.9,55549.829999999994,73789.14550000003
2011-12-06,47000.02,47250.01,45500.03,45950.01,317900,57052.2,55478.43999999999,73639.84150000002
2011-12-07,46200.01,47450.0,45950.01,47450.0,350100,58914.6,55521.895,73496.74550000002
2011-12-08,47200.0,48899.96,47050.03,48399.97,587100,60094.1,55847.815,73368.23800000001
2011-12-09,47800.02,48899.96,47349.96,48250.0,364200,59907.9,56058.89,73282.25600000001
2011-12-12,49100.02,49150.04,48350.03,48800.01,328700,60590.8,56276.175,73206.51750000002
2011-12-13,48199.99,48199.99,47000.02,47500.01,205700,58976.7,56462.42,73122.08800000002
2011-12-14,47500.01,47500.01,46000.03,46849.97,229100,58169.6,56645.55500000001,73015.61950000002
2011-12-15,46399.99,46450.01,45750.03,46049.96,311100,57176.3,56788.340000000004,72919.7045
2011-12-16,46599.97,46649.99,45049.97,45599.99,384800,56617.6,56965.270000000004,72824.1
2011-12-19,45450.02,45450.02,41500.0,42199.98,823200,52396.1,56934.23000000002,72694.97200000001
2011-12-20,42550.0,43050.0,41899.96,42749.99,438700,53079.0,56974.580000000016,72565.53350000002
2011-12-21,43600.01,43850.01,43150.03,43700.04,344300,54258.6,57049.080000000016,72454.40900000001
